,submarket_name,cbsaid,building_rating_id,Density,Rent,Revenue,rating_bin,Rent_bin
406,Ballston,47900.0,4,20,41.50179,830.0358,High,High Quality Expensive
548,Bellevue CBD,42660.0,4,18,56.28976,1013.21568,High,High Quality Expensive
634,Birmingham-Hoover,13820.0,4,6,199.0754511166565,1194.452706699939,High,High Quality Expensive
640,Bishop Ranch,36084.0,4,15,38.643143,579.647145,High,High Quality Expensive
815,Brickell,33124.0,4,13,51.369175,667.799275,High,High Quality Expensive
961,CBD,16740.0,4,17,35.875584,609.8849280000001,High,High Quality Expensive
987,CBD,19740.0,4,36,34.15781,1229.6811599999999,High,High Quality Expensive
1001,CBD,26420.0,4,24,35.077627,841.8630479999999,High,High Quality Expensive
1033,CBD,38300.0,4,35,29.501515,1032.553025,High,High Quality Less Expensive
1070,CBD,46520.0,4,18,34.478901,620.620218,High,High Quality Expensive
1074,CBD,47900.0,4,88,56.051841,4932.562008,High,High Quality Expensive
1198,Capitol Riverfront,47900.0,4,7,52.190758,365.335306,High,High Quality Expensive
1367,Central Loop,16980.0,4,33,40.79815,1346.33895,High,High Quality Expensive
1445,Century City,31084.0,4,13,60.770494,790.016422,High,High Quality Expensive
1605,Clarendon/Courthouse,47900.0,4,16,41.127571,658.041136,High,High Quality Expensive
1789,Conshohocken,37980.0,4,17,36.648165,623.0188049999999,High,High Quality Expensive
1897,Crown Center,28140.0,4,8,22.602223,180.817784,High,High Quality Less Expensive
1901,Crystal City,47900.0,4,19,39.008886,741.168834,High,High Quality Expensive
2041,Del Mar Hts/Carmel Valley,41740.0,4,32,54.198471,1734.351072,High,High Quality Expensive
2065,Denver Tech Center,19740.0,4,37,29.623603,1096.0733109999999,High,High Quality Less Expensive
2371,Downtown Florence MF,22520.0,4,1,21.354924881595835,21.354924881595835,High,High Quality Less Expensive
2523,Downtown Norfolk,47260.0,4,8,25.130674,201.045392,High,High Quality Less Expensive
2740,E Cambridge/Kendall Sq,14460.0,4,33,90.537718,2987.744694,High,High Quality Expensive
2778,Earth City/Riverport,41180.0,4,10,21.732273,217.32272999999998,High,High Quality Less Expensive
2859,East End,47900.0,4,107,58.911598,6303.540986,High,High Quality Expensive
2887,East I-287 Corridor,35614.0,4,32,33.875944,1084.030208,High,High Quality Expensive
3332,Financial District,35614.0,4,30,59.423332,1782.6999600000001,High,High Quality Expensive
3336,Financial District,41884.0,4,55,64.476477,3546.206235,High,High Quality Expensive
3538,Galleria/Uptown,26420.0,4,27,30.853828,833.053356,High,High Quality Expensive
3664,Grand Central,35614.0,4,52,73.319018,3812.588936,High,High Quality Expensive
4070,Herndon,47900.0,4,40,37.233985,1489.3593999999998,High,High Quality Expensive
4229,Hwy 280/Jefferson County,13820.0,4,16,25.451067,407.217072,High,High Quality Less Expensive
4574,Kenosha West,16980.0,4,1,22.103446690992953,22.103446690992953,High,High Quality Less Expensive
5200,Market Street West,37980.0,4,40,34.750008,1390.00032,High,High Quality Expensive
5341,Meridian,19740.0,4,13,26.835193,348.857509,High,High Quality Less Expensive
5620,Moffett Park,41940.0,4,7,76.679129,536.753903,High,High Quality Expensive
6040,NoMa,47900.0,4,16,51.679695,826.87512,High,High Quality Expensive
6265,North Michigan Avenue,16980.0,4,22,40.909413,900.0070860000001,High,High Quality Expensive
6381,North/Domain,12420.0,4,24,47.348865,1136.3727600000002,High,High Quality Expensive
6489,Northeast Mobile,33660.0,4,1,18.061606,18.061606,High,High Quality Less Expensive
7327,Pentagon City,47900.0,4,4,39.830933,159.323732,High,High Quality Expensive
7331,Peoria,37900.0,4,1,13.316425771476327,13.316425771476327,High,High Quality Less Expensive
7431,Plaza District,35614.0,4,117,89.59278,10482.35526,High,High Quality Expensive
7457,Polaris,18140.0,4,20,24.605283,492.10566,High,High Quality Less Expensive
7619,RTP/RDU,39580.0,4,25,30.033915,750.847875,High,High Quality Expensive
7849,Rosslyn,47900.0,4,20,46.396607,927.9321400000001,High,High Quality Expensive
8321,Seattle CBD,42660.0,4,34,42.552889,1446.798226,High,High Quality Expensive
8390,Shelton,14860.0,4,14,25.635959,358.90342599999997,High,High Quality Less Expensive
8721,South Natomas,40900.0,4,21,30.128318,632.694678,High,High Quality Expensive
8782,South Santa Ana,11244.0,4,7,29.292228,205.04559600000002,High,High Quality Less Expensive
9007,Southwest,47900.0,4,18,51.974819,935.546742,High,High Quality Expensive
9138,Spring Lake,22180.0,4,1,21.199168,21.199168,High,High Quality Less Expensive
9238,Stamford,14860.0,4,53,42.82313,2269.62589,High,High Quality Expensive
9455,The City Area,11244.0,4,8,30.30376,242.43008,High,High Quality Expensive
9668,University City,37980.0,4,5,44.846702,224.23351,High,High Quality Expensive
9745,Uptown/Turtle Creek,19100.0,4,30,44.069054,1322.07162,High,High Quality Expensive
9749,Urban Center/Wingren,19100.0,4,19,32.119355,610.267745,High,High Quality Expensive
9833,Virginia Square,47900.0,4,5,39.608171,198.040855,High,High Quality Expensive
9873,Waikiki,46520.0,4,4,37.817461,151.269844,High,High Quality Expensive
10139,West End,47900.0,4,9,52.998338,476.98504199999996,High,High Quality Expensive
10187,West Loop,16980.0,4,40,40.875372,1635.01488,High,High Quality Expensive
10244,West Plains,48460.0,4,1,26.133592611744003,26.133592611744003,High,High Quality Less Expensive
10552,World Trade Center,35614.0,4,21,63.211531,1327.442151,High,High Quality Expensive
0,10th & Page MF,16820.0,3,1,23.16370596241479,23.16370596241479,Medium,Medium Quality Expensive
2,190th Street Corridor,31084.0,3,18,32.272375,580.90275,Medium,Medium Quality Expensive
9,385 Corridor,32820.0,3,48,21.026769,1009.2849120000001,Medium,Medium Quality Expensive
20,520 Corridor,42660.0,3,46,36.458601,1677.095646,Medium,Medium Quality Expensive
23,6 Forks Falls of Neuse,39580.0,3,143,22.647265,3238.558895,Medium,Medium Quality Expensive
50,Airport,16740.0,3,60,26.310759,1578.64554,Medium,Medium Quality Expensive
58,Airport,30780.0,3,2,19.550538,39.101076,Medium,Medium Quality Less Expensive
71,Airport Area,38060.0,3,32,22.516561,720.529952,Medium,Medium Quality Expensive
75,Airport Area,40140.0,3,111,25.909605,2875.966155,Medium,Medium Quality Expensive
93,Airport/International Ctr,41620.0,3,8,21.672647,173.381176,Medium,Medium Quality Expensive
130,Albuquerque,10740.0,3,9,24.170217404449414,217.5319566400447,Medium,Medium Quality Expensive
141,Alexandria,10820.0,3,5,20.98417842939768,104.9208921469884,Medium,Medium Quality Expensive
147,Allen/McKinney,19100.0,3,92,30.6071,2815.8532,Medium,Medium Quality Expensive
150,Allentown-Bethlehem-Easton,10900.0,3,9,23.971987503868796,215.74788753481917,Medium,Medium Quality Expensive
153,Alliance,19100.0,3,25,27.81097,695.27425,Medium,Medium Quality Expensive
174,Amber Valley MF,22020.0,3,5,21.308103746954945,106.54051873477472,Medium,Medium Quality Expensive
180,Ames,11180.0,3,3,19.243170565976122,57.729511697928366,Medium,Medium Quality Less Expensive
188,Anaheim-Santa Ana-Irvine,11244.0,3,67,32.68868904926269,2190.1421663006004,Medium,Medium Quality Expensive
191,Anchorage,11260.0,3,11,33.50918818532813,368.6010700386094,Medium,Medium Quality Expensive
205,Andrews,11380.0,3,1,19.67515694970099,19.67515694970099,Medium,Medium Quality Less Expensive
209,Ankeny,19780.0,3,16,23.080077,369.281232,Medium,Medium Quality Expensive
211,Ann Arbor,11460.0,3,5,16.99058559752565,84.95292798762826,Medium,Medium Quality Less Expensive
231,Antelope Valley,31084.0,3,49,30.94083,1516.1006699999998,Medium,Medium Quality Expensive
246,Arapahoe Rd,19740.0,3,22,22.848538,502.667836,Medium,Medium Quality Expensive
250,Arcadia,11580.0,3,4,19.025960078617665,76.10384031447066,Medium,Medium Quality Less Expensive
269,Arrowhead,38060.0,3,124,25.877131,3208.764244,Medium,Medium Quality Expensive
297,Athens,11900.0,3,4,17.29027072127768,69.16108288511072,Medium,Medium Quality Less Expensive
302,Athens,26620.0,3,4,17.357373,69.429492,Medium,Medium Quality Less Expensive
329,Auburn Hills,19820.0,3,13,22.842714,296.955282,Medium,Medium Quality Expensive
354,Austin-Round Rock,12420.0,3,19,45.891949702080936,871.9470443395378,Medium,Medium Quality Expensive
362,Aventura,33124.0,3,15,44.753999,671.309985,Medium,Medium Quality Expensive
369,BWI Howard County,12580.0,3,7,21.721844,152.052908,Medium,Medium Quality Expensive
371,BWI North/Linthicum,12580.0,3,20,23.530014,470.60028,Medium,Medium Quality Expensive
374,BWI/Anne Arundel,12580.0,3,24,25.70356,616.88544,Medium,Medium Quality Expensive
381,Back Bay,14460.0,3,38,50.293214,1911.142132,Medium,Medium Quality Expensive
387,Bainbridge Island,14740.0,3,12,27.28748,327.44975999999997,Medium,Medium Quality Expensive
389,Baker County,27260.0,3,1,21.883138,21.883138,Medium,Medium Quality Expensive
391,Bakersfield,12540.0,3,7,26.439854296306148,185.07898007414303,Medium,Medium Quality Expensive
432,Baltimore-Columbia-Towson,12580.0,3,40,28.456575688757223,1138.2630275502888,Medium,Medium Quality Expensive
448,Barracks Rugby MF,16820.0,3,2,18.876283707651496,37.75256741530299,Medium,Medium Quality Less Expensive
450,Barre,12740.0,3,10,21.595870991256856,215.95870991256857,Medium,Medium Quality Expensive
472,Baton Rouge,12940.0,3,8,21.914447811023592,175.31558248818874,Medium,Medium Quality Expensive
479,Battlefield,47260.0,3,12,21.49883,257.98596000000003,Medium,Medium Quality Expensive
487,Bay City,13060.0,3,4,19.76312054454641,79.05248217818564,Medium,Medium Quality Less Expensive
493,Bayside,45300.0,3,19,23.251614,441.780666,Medium,Medium Quality Expensive
507,Beaches,27260.0,3,52,29.821137,1550.699124,Medium,Medium Quality Expensive
513,Beatrice,13100.0,3,2,21.40147963179696,42.80295926359392,Medium,Medium Quality Expensive
540,Bellaire,26420.0,3,16,26.240592,419.849472,Medium,Medium Quality Expensive
558,Belltown/Denny Regrade,42660.0,3,17,36.643019,622.931323,Medium,Medium Quality Expensive
